"filename", "language", "Dart", "Markdown", "YAML", "Properties", "JSON", "Gradle", "Django HTML", "XML", "C++", "Swift", "Kotlin", "comment", "blank", "total"
"/Users/shinya/duovoc-flutter/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/shinya/duovoc-flutter/analysis_options.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/shinya/duovoc-flutter/android/app/build.gradle", "Gradle", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 3, 17, 93
"/Users/shinya/duovoc-flutter/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 1, 7
"/Users/shinya/duovoc-flutter/android/app/src/free/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"/Users/shinya/duovoc-flutter/android/app/src/free/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"/Users/shinya/duovoc-flutter/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 12, 2, 28
"/Users/shinya/duovoc-flutter/android/app/src/main/kotlin/org/thinkit/duotracker/MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 3, 10
"/Users/shinya/duovoc-flutter/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"/Users/shinya/duovoc-flutter/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"/Users/shinya/duovoc-flutter/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"/Users/shinya/duovoc-flutter/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"/Users/shinya/duovoc-flutter/android/app/src/paid/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"/Users/shinya/duovoc-flutter/android/app/src/paid/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"/Users/shinya/duovoc-flutter/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 1, 7
"/Users/shinya/duovoc-flutter/android/build.gradle", "Gradle", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
